Topic,Words
Topic 105,"great: 0.03264, melissa: 0.02679, reynold: 0.02679, thom: 0.02591, tate: 0.02386, jesse: 0.02332, scott: 0.02286, allen: 0.02282, cher: 0.02084, lindsey: 0.01868"
Topic 106,"mueller: 0.06787, obstruction: 0.03345, collusion: 0.03038, report: 0.0285, angry: 0.01996, finding: 0.01986, conflict: 0.01862, conclusion: 0.01378, unhappy: 0.01288, robert: 0.01251"
Topic 107,"cuomo: 0.14012, nursing: 0.06286, governor: 0.03119, andrew: 0.0311, york: 0.02033, toll: 0.02014, fredo: 0.01936, home: 0.01726, rent: 0.0136, death: 0.0128"
Topic 108,"wall: 0.06012, mile: 0.0387, fence: 0.03683, southern: 0.03274, built: 0.03112, build: 0.0307, border: 0.02856, construction: 0.02531, concrete: 0.02122, section: 0.01924"
Topic 109,"mccabe: 0.11542, comey: 0.06506, andrew: 0.04225, jame: 0.04031, director: 0.03222, wife: 0.02601, andy: 0.0236, acting: 0.01814, lover: 0.01746, lisa: 0.01678"
Topic 110,"afghanistan: 0.14381, taliban: 0.09231, afghan: 0.04869, soldier: 0.04119, karzai: 0.02917, reduction: 0.02355, rebuild: 0.01929, iraq: 0.01808, pakistan: 0.0176, wasting: 0.01533"
Topic 111,"american: 0.02168, together: 0.01905, america: 0.01898, achieve: 0.01504, hero: 0.01472, fellow: 0.01325, harri: 0.01296, showcase: 0.01176, azar: 0.01176, behalf: 0.01118"
Topic 112,"rigg: 0.07301, election: 0.05788, statistical: 0.02206, alter: 0.01176, rigging: 0.01137, peril: 0.01137, gardner: 0.01137, dominant: 0.01103, market: 0.01103, digenova: 0.01073"
Topic 113,"book: 0.10208, charlie: 0.03549, copy: 0.03513, kimberley: 0.02419, jeffrey: 0.01629, rich: 0.01541, lawrence: 0.01532, author: 0.01504, lesson: 0.01477, writer: 0.01384"
Topic 114,"macy: 0.21372, shop: 0.05187, store: 0.02284, quality: 0.01978, shopping: 0.01931, shame: 0.01922, herald: 0.01864, disloyal: 0.01805, bought: 0.01537, screw: 0.01523"
Topic 115,"georgia: 0.09283, signature: 0.06234, verification: 0.05894, fulton: 0.04501, decree: 0.0322, consent: 0.03088, recount: 0.02833, county: 0.02458, secretary: 0.02346, envelope: 0.02126"
Topic 116,"rosie: 0.30298, donnell: 0.08178, arianna: 0.03561, view: 0.02704, rude: 0.01781, rating: 0.01641, talent: 0.01562, oprah: 0.01555, cher: 0.01555, crude: 0.01531"
